Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
509930,SUPREMEIND,18 Oct 2010,Stock  Split From Rs.10/- to Rs.2/-,19 Oct 2010,-,-,12 Oct 2010,18 Oct 2010,-
532993,SEZAL,21 Oct 2010,Stock  Split From Rs.10/- to Rs.1/-,22 Oct 2010,-,-,15 Oct 2010,21 Oct 2010,-
506690,UNICHEMLAB,21 Oct 2010,Stock  Split From Rs.5/- to Rs.2/-,22 Oct 2010,-,-,15 Oct 2010,21 Oct 2010,-
530343,GENUSPOWER,22 Oct 2010,Stock  Split From Rs.10/- to Rs.1/-,25 Oct 2010,-,-,18 Oct 2010,22 Oct 2010,-
502742,SINTEX,27 Oct 2010,Stock  Split From Rs.2/- to Rs.1/-,28 Oct 2010,-,-,21 Oct 2010,27 Oct 2010,-
530945,GISL,29 Oct 2010,Stock  Split From Rs.10/- to Rs.5/-,01 Nov 2010,-,-,25 Oct 2010,29 Oct 2010,-
500219,JISLJALEQS,29 Oct 2010,Stock  Split From Rs.10/- to Rs.2/-,01 Nov 2010,-,-,25 Oct 2010,29 Oct 2010,-
532748,PFOCUS,29 Oct 2010,Stock  Split From Rs.10/- to Rs.1/-,01 Nov 2010,-,-,25 Oct 2010,29 Oct 2010,-
532900,SEINV,29 Oct 2010,Stock  Split From Rs.2/- to Rs.1/-,01 Nov 2010,-,-,25 Oct 2010,29 Oct 2010,-
532212,ARCHIES,02 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,03 Nov 2010,-,-,27 Oct 2010,02 Nov 2010,-
511682,IFLPROMOT,03 Nov 2010,Stock  Split From Rs.10/- to Rs.5/-,05 Nov 2010,-,-,29 Oct 2010,03 Nov 2010,-
532854,NITINFIRE,04 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,08 Nov 2010,-,-,29 Oct 2010,05 Nov 2010,-
523842,SUPERTAN,04 Nov 2010,Stock  Split From Rs.2/- to Rs.1/-,08 Nov 2010,-,-,29 Oct 2010,05 Nov 2010,-
